conjunto,esquema,dobra,n_treino,n_teste,C_binaria,C_multiclasse,ridge_alpha,bin_acuracia,bin_precisao,bin_recall,bin_especificidade,bin_f1,bin_roc_auc,bin_saudaveis_no_teste,mul_acuracia_balanceada,mul_f1_macro,mul_nivel_correto,mul_erro_um_nivel,mul_erro_dois_ou_mais,reg_mae_alfa,reg_rmse_alfa,reg_r2,reg_mae_espiras,reg_vies_alfa,reg_nivel_mais_proximo_correto,conformal_meia_largura,conformal_cobertura,fora_dominio_fracao
posicao,aleatoria,a0,204,51,0.1,10.0,0.1,0.8627450980392157,1.0,0.8478260869565217,1.0,0.9176470588235294,0.9652173913043478,5,0.7777777777777778,0.7754746342981638,0.7843137254901961,0.0392156862745098,0.17647058823529413,0.15281906303818824,0.2065076315691742,0.6286137600480968,91.69143782291295,-0.018856221596164832,0.27450980392156865,,,
posicao,aleatoria,a1,204,51,0.1,10.0,0.1,0.9019607843137255,0.9767441860465116,0.9130434782608695,0.8,0.9438202247191011,0.9304347826086956,5,0.5296296296296297,0.5117012617012616,0.5490196078431373,0.19607843137254902,0.2549019607843137,0.14521674367863888,0.17712218470916147,0.7294294428596333,87.13004620718333,0.012055451493686253,0.19607843137254902,,,
posicao,aleatoria,a2,204,51,1.0,10.0,10.0,0.8823529411764706,1.0,0.8723404255319149,1.0,0.9318181818181818,0.946808510638298,4,0.6287037037037037,0.6287120287120288,0.6470588235294118,0.09803921568627451,0.2549019607843137,0.15370021153116137,0.1889663420352734,0.6849768264648566,92.22012691869682,-0.011115755757719286,0.1568627450980392,,,
posicao,aleatoria,a3,204,51,1.0,10.0,0.1,0.9019607843137255,1.0,0.8936170212765957,1.0,0.9438202247191011,0.9202127659574468,4,0.5150793650793651,0.4970177970177969,0.5490196078431373,0.13725490196078433,0.3137254901960784,0.15324911392296622,0.18793257853472115,0.6874340773821732,91.94946835377974,6.091866167627935e-05,0.21568627450980393,,,
posicao,aleatoria,a4,204,51,0.1,10.0,0.1,0.9019607843137255,1.0,0.8936170212765957,1.0,0.9438202247191011,0.9627659574468085,4,0.6187830687830689,0.6117438117438118,0.6274509803921569,0.09803921568627451,0.27450980392156865,0.15471636555138787,0.2068837717222199,0.6170007067652564,92.82981933083272,0.016222185900324655,0.19607843137254902,,,
posicao,blocos,b0,190,56,0.01,10.0,0.1,0.8928571428571429,1.0,0.8823529411764706,1.0,0.9375,0.9764705882352941,5,0.5608465608465608,0.5476493187277501,0.5714285714285714,0.17857142857142858,0.25,0.152237746574346,0.1751536542154005,0.7291963182548324,91.34264794460759,0.0035681066676757555,0.19642857142857142,0.30026741530912715,0.9464285714285714,0.0
posicao,blocos,b1,185,52,0.1,10.0,0.1,0.9615384615384616,1.0,0.9574468085106383,1.0,0.9782608695652174,0.9914893617021276,5,0.5280423280423281,0.5308575955634779,0.5576923076923077,0.038461538461538464,0.40384615384615385,0.15193306677265073,0.1691975809943895,0.7538835837031941,91.15984006359044,0.008230433234913216,0.17307692307692307,0.3212639400645335,1.0,0.0
posicao,blocos,b2,188,49,0.01,10.0,0.1,0.8979591836734694,1.0,0.8888888888888888,1.0,0.9411764705882353,1.0,4,0.574074074074074,0.5781385281385281,0.5918367346938775,0.14285714285714285,0.2653061224489796,0.12776964521106124,0.15520554045507814,0.7868899800791489,76.66178712663674,0.02111925152653747,0.22448979591836735,0.3212769316987023,0.9795918367346939,0.0
posicao,blocos,b3,188,49,0.1,1.0,0.1,0.8163265306122449,1.0,0.8,1.0,0.8888888888888888,0.9,4,0.575925925925926,0.572488422978619,0.6122448979591837,0.10204081632653061,0.2857142857142857,0.16776224033279563,0.21554792859585878,0.5889665785650502,100.65734419967738,0.01113796025860471,0.24489795918367346,0.26666666666666666,0.8571428571428571,0.02040816326530612
posicao,blocos,b4,197,49,0.1,10.0,0.1,0.8163265306122449,0.9736842105263158,0.8222222222222222,0.75,0.891566265060241,0.8333333333333333,4,0.3194444444444444,0.2676051617228088,0.3673469387755102,0.20408163265306123,0.42857142857142855,0.15799640249546013,0.20963447906057547,0.6112102059106537,94.79784149727608,-0.0041581845605699694,0.2857142857142857,0.26666666666666666,0.8571428571428571,0.20408163265306123
