conjunto,condicao_retirada,alfa_real,n_teste,ridge_alpha,alfa_previsto_medio,alfa_previsto_dp,mae_alfa,rmse_alfa,mae_espiras,vies_alfa,nivel_mais_proximo_correto,fora_dominio_fracao
posicao,SC400,0.6666666666666666,25,10.0,0.6480514795735811,0.07802272689660468,0.06077484979011587,0.07868017073187786,36.46490987406952,-0.018615187093085513,0.6,0.0
posicao,SC480,0.8,27,10.0,0.6897748523949614,0.059860025062672434,0.11779697622453002,0.12490033553553638,70.67818573471801,-0.11022514760503883,0.07407407407407407,0.0
posicao,SC560,0.9333333333333333,32,0.1,0.527528609903764,0.17976086869042895,0.40580472342956925,0.4426981272948038,243.48283405774154,-0.40580472342956925,0.0,0.0
indicadores_v1,SC80,0.13333333333333333,26,100.0,0.0,0.0,0.13333333333333333,0.13333333333333333,80.0,-0.13333333333333333,0.0,1.0
indicadores_v1,SC160,0.26666666666666666,31,1.0,0.23537991686925702,0.020545663837555385,0.03277756543349777,0.037247390545202486,19.66653926009866,-0.03128674979740965,0.9354838709677419,1.0
indicadores_v1,SC240,0.4,26,1.0,0.4242082234903083,0.016512067185311848,0.025266116471876262,0.02912387288461593,15.159669883125757,0.024208223490308347,1.0,0.23076923076923078
indicadores_v1,SC320,0.5333333333333333,26,1.0,0.5309416095633405,0.02010291776610796,0.01571447217705604,0.019857096653495814,9.428683306233625,-0.002391723769992823,1.0,0.7692307692307693
indicadores_v1,SC400,0.6666666666666666,25,10.0,0.5807007257626131,0.008385996144049859,0.08596594090405349,0.08635771493962839,51.579564542432095,-0.08596594090405349,0.0,0.24
indicadores_v1,SC480,0.8,27,1.0,0.8767951939995415,0.011130357924108176,0.07679519399954149,0.0775680240854397,46.07711639972489,0.07679519399954149,0.14814814814814814,1.0
indicadores_v1,SC560,0.9333333333333333,32,10.0,0.9182570790706841,0.011529676636931727,0.015485167807941486,0.018869889131616552,9.291100684764892,-0.015076254262649184,1.0,1.0
indicadores,SC80,0.13333333333333333,26,10.0,0.0,0.0,0.13333333333333333,0.13333333333333333,80.0,-0.13333333333333333,0.0,1.0
indicadores,SC160,0.26666666666666666,31,1.0,0.1016192054005997,0.021670712693544283,0.16504746126606695,0.16641855435491504,99.02847675964017,-0.16504746126606695,0.0,0.9032258064516129
indicadores,SC240,0.4,26,100.0,0.4522143866311008,0.020634063438674383,0.05221438663110082,0.055997599812091896,31.328631978660493,0.05221438663110082,0.6923076923076923,0.0
indicadores,SC320,0.5333333333333333,26,100.0,0.5128002492685689,0.02300030950294451,0.02332938500189978,0.030500411095753285,13.997631001139869,-0.020533084064764395,0.9615384615384616,0.11538461538461539
indicadores,SC400,0.6666666666666666,25,100.0,0.5827316715200254,0.010459532623038094,0.08393499514664127,0.08455831810089057,50.36099708798476,-0.08393499514664127,0.04,1.0
indicadores,SC480,0.8,27,10.0,0.8102795257323415,0.033769289473988384,0.01689402520408852,0.0346957897070241,10.136415122453112,0.01027952573234142,0.9259259259259259,1.0
indicadores,SC560,0.9333333333333333,32,10.0,0.900418297073621,0.016172226387155583,0.0329150362597123,0.03656182934390958,19.749021755827382,-0.0329150362597123,0.96875,1.0
mobilenet,SC80,0.13333333333333333,26,0.1,0.17016130685806274,0.02860838733613491,0.03861004014809926,0.04629535826532447,23.166024088859555,0.0368279632085409,0.8461538461538461,1.0
mobilenet,SC160,0.26666666666666666,31,1.0,0.23844045400619507,0.027377303689718246,0.02982501663187498,0.03901355517507989,17.895009979124985,-0.028226206892280153,0.9354838709677419,0.967741935483871
mobilenet,SC240,0.4,26,100.0,0.44328707456588745,0.01762538030743599,0.0432870722734011,0.04660983202300266,25.97224336404066,0.0432870722734011,0.8461538461538461,0.0
mobilenet,SC320,0.5333333333333333,26,100.0,0.4871126413345337,0.01521675381809473,0.04622072638609469,0.048569531612130415,27.73243583165681,-0.04622072638609469,0.8846153846153846,0.15384615384615385
mobilenet,SC400,0.6666666666666666,25,1.0,0.6731123924255371,0.02329898439347744,0.017927636305491136,0.0237208121872298,10.756581783294681,0.006445771058400509,1.0,0.68
mobilenet,SC480,0.8,27,1.0,0.798967719078064,0.016636772081255913,0.014252860457808894,0.01635837644735321,8.551716274685337,-0.0010322235248707403,1.0,0.037037037037037035
mobilenet,SC560,0.9333333333333333,32,100.0,0.9203178882598877,0.026778381317853928,0.02012915785113971,0.029395156947841727,12.077494710683826,-0.013015463699897145,0.9375,0.21875
dinov2,SC80,0.13333333333333333,26,0.1,0.15737773478031158,0.05429084971547127,0.0501553815144759,0.05841458650923431,30.09322890868554,0.024044393423276075,0.7307692307692307,1.0
dinov2,SC160,0.26666666666666666,31,0.1,0.28636157512664795,0.04273868724703789,0.03863162398338319,0.04642803849362038,23.178974390029914,0.01969491711226843,0.8064516129032258,1.0
dinov2,SC240,0.4,26,10.0,0.456379771232605,0.023545367643237114,0.057561725148787844,0.06092406021053569,34.537035089272706,0.05637977696382081,0.6538461538461539,0.0
dinov2,SC320,0.5333333333333333,26,10.0,0.5260217785835266,0.01672171615064144,0.014571056381250037,0.01795328210346864,8.742633828750023,-0.0073115673584815705,1.0,0.07692307692307693
dinov2,SC400,0.6666666666666666,25,10.0,0.6889040470123291,0.02628938853740692,0.0285092870394389,0.034029213692364856,17.10557222366334,0.0222373731931051,0.96,0.08
dinov2,SC480,0.8,27,0.1,0.8113555312156677,0.02749997191131115,0.02408626962591099,0.029277741392620255,14.451761775546593,0.01135548044134065,0.9629629629629629,0.0
dinov2,SC560,0.9333333333333333,32,1.0,0.8990799188613892,0.025001060217618942,0.03598169634739559,0.04217602132275935,21.589017808437355,-0.034253418197234486,0.84375,0.0625
hibrido_v1,SC80,0.13333333333333333,26,0.1,0.06714861300974549,0.03229141226472628,0.06618472032358783,0.0733692531397396,39.710832194152694,-0.06618472032358783,0.5384615384615384,1.0
hibrido_v1,SC160,0.26666666666666666,31,10.0,0.24707493400666483,0.02549332337556747,0.025348368035208617,0.03182421564762769,15.20902082112517,-0.01959173266000179,0.9354838709677419,1.0
hibrido_v1,SC240,0.4,26,10.0,0.44515751136199416,0.012287660634959502,0.04515751136199411,0.04673735400315528,27.094506817196468,0.04515751136199411,0.9615384615384616,0.0
hibrido_v1,SC320,0.5333333333333333,26,10.0,0.5325561984737354,0.014188128471144782,0.010383886519283141,0.013934292426603778,6.230331911569885,-0.0007771348595980101,1.0,0.11538461538461539
hibrido_v1,SC400,0.6666666666666666,25,1.0,0.6221231470881209,0.015405552059306785,0.044543519578545826,0.047031509962218165,26.726111747127497,-0.044543519578545826,0.96,0.28
hibrido_v1,SC480,0.8,27,10.0,0.8071921498261801,0.015707442489902485,0.014607998073056143,0.01700919904184035,8.764798843833686,0.0071921498261800975,1.0,0.0
hibrido_v1,SC560,0.9333333333333333,32,1.0,0.9163280416841155,0.01930109477463293,0.020812573041385098,0.025496481531085056,12.487543824831059,-0.01700529164921772,1.0,0.09375
hibrido,SC80,0.13333333333333333,26,1.0,0.08567364213861108,0.02315997379013387,0.04765969119472227,0.052793942664336194,28.595814716833363,-0.04765969119472227,0.7307692307692307,1.0
hibrido,SC160,0.26666666666666666,31,0.1,0.24290269704973572,0.025347066023197876,0.028116240884159645,0.03444524710418418,16.869744530495787,-0.023763969616931006,0.9354838709677419,1.0
hibrido,SC240,0.4,26,100.0,0.4527694799598946,0.014189576843145934,0.052769479959894526,0.05457305289907953,31.661687975936715,0.052769479959894526,0.9230769230769231,0.0
hibrido,SC320,0.5333333333333333,26,100.0,0.5371235767277406,0.01791824143300085,0.014456892308600231,0.017974446574333457,8.674135385160138,0.003790243394407322,1.0,0.11538461538461539
hibrido,SC400,0.6666666666666666,25,0.1,0.6470738197664868,0.017541339010376363,0.02296466580751326,0.026062814141219772,13.778799484507957,-0.01959284690017997,1.0,0.12
hibrido,SC480,0.8,27,0.1,0.8061056429694773,0.014239525452249461,0.013226887157153703,0.01524903866629501,7.9361322942922214,0.0061056429694770495,1.0,0.0
hibrido,SC560,0.9333333333333333,32,10.0,0.9194793525382139,0.01537955288308239,0.01675006422789121,0.020520035283594355,10.050038536734727,-0.013853980795119496,1.0,0.09375
