conjunto,regressor,campanha_retirada,tipo,condicao,alfa_real,n_teste,alfa_previsto_medio,mae_espiras,vies_espiras,fora_dominio_fracao
indicadores|svr,svr,A,extrapolacao,Healthy,0.0,22,0.3118603816739662,187.1162290043797,187.1162290043797,0.8181818181818182
indicadores|svr,svr,B,interpolacao,SC80,0.13333333333333333,26,0.26055689466301024,76.3341367978062,76.3341367978062,1.0
indicadores|svr,svr,B,interpolacao,SC160,0.26666666666666666,31,0.3109294656318951,30.52027962230143,26.557679379137095,0.967741935483871
indicadores|svr,svr,C,interpolacao,SC240,0.4,26,0.47395897730836534,44.37538638501916,44.37538638501916,1.0
indicadores|svr,svr,C,interpolacao,SC320,0.5333333333333333,26,0.5374810430795799,4.544502033282418,2.4886258477479464,1.0
indicadores|svr,svr,D,extrapolacao,SC400,0.6666666666666666,25,0.313065216491335,212.16087010519897,-212.16087010519897,1.0
indicadores|svr,svr,D,extrapolacao,SC480,0.8,27,0.313065216491335,292.1608701051991,-292.1608701051991,1.0
indicadores|svr,svr,D,extrapolacao,SC560,0.9333333333333333,32,0.313065216491335,372.160870105199,-372.160870105199,1.0
indicadores|svr,svr,D,extrapolacao,SC600,1.0,40,0.313065216491335,412.160870105199,-412.160870105199,1.0
indicadores|gp,gp,A,extrapolacao,Healthy,0.0,22,0.22522967542651975,135.13780525591184,135.13780525591184,0.8181818181818182
indicadores|gp,gp,B,interpolacao,SC80,0.13333333333333333,26,0.03608291118971559,58.35025328617064,-58.35025328617064,1.0
indicadores|gp,gp,B,interpolacao,SC160,0.26666666666666666,31,0.23750694123819352,19.550962136206593,-17.495835257083915,0.967741935483871
indicadores|gp,gp,C,interpolacao,SC240,0.4,26,0.42037475109669153,12.555202459730964,12.224850658014917,1.0
indicadores|gp,gp,C,interpolacao,SC320,0.5333333333333333,26,0.5043906368471529,17.365617891708247,-17.365617891708247,1.0
indicadores|gp,gp,D,extrapolacao,SC400,0.6666666666666666,25,0.2748091603053435,235.11450381679387,-235.11450381679387,1.0
indicadores|gp,gp,D,extrapolacao,SC480,0.8,27,0.2748091603053435,315.11450381679396,-315.11450381679396,1.0
indicadores|gp,gp,D,extrapolacao,SC560,0.9333333333333333,32,0.2748091603053435,395.1145038167939,-395.1145038167939,1.0
indicadores|gp,gp,D,extrapolacao,SC600,1.0,40,0.2748091603053435,435.1145038167939,-435.1145038167939,1.0
ind_invariantes|ridge,ridge,A,extrapolacao,Healthy,0.0,22,0.18063815053033347,108.38289031820008,108.38289031820008,1.0
ind_invariantes|ridge,ridge,B,interpolacao,SC80,0.13333333333333333,26,0.0,80.0,-80.0,1.0
ind_invariantes|ridge,ridge,B,interpolacao,SC160,0.26666666666666666,31,0.1845958879456338,49.24246723261969,-49.24246723261969,1.0
ind_invariantes|ridge,ridge,C,interpolacao,SC240,0.4,26,0.5174078111241455,70.4446866744873,70.4446866744873,1.0
ind_invariantes|ridge,ridge,C,interpolacao,SC320,0.5333333333333333,26,0.5927711574569267,35.66269447415599,35.66269447415599,1.0
ind_invariantes|ridge,ridge,D,extrapolacao,SC400,0.6666666666666666,25,0.3571058021318734,185.73651872087598,-185.73651872087598,1.0
ind_invariantes|ridge,ridge,D,extrapolacao,SC480,0.8,27,0.47317229829275537,196.0966210243468,-196.0966210243468,1.0
ind_invariantes|ridge,ridge,D,extrapolacao,SC560,0.9333333333333333,32,0.6479730007796578,171.21619953220537,-171.21619953220537,1.0
ind_invariantes|ridge,ridge,D,extrapolacao,SC600,1.0,40,0.7544586742661374,147.32479544031744,-147.32479544031744,1.0
ind_invariantes|pls,pls,A,extrapolacao,Healthy,0.0,22,0.17030932972516324,102.18559783509795,102.18559783509795,1.0
ind_invariantes|pls,pls,B,interpolacao,SC80,0.13333333333333333,26,0.0,80.0,-80.0,1.0
