conjunto,teste,retirado,erro_espiras,score_dominio,aceita
mobilenet,severidade,SC400,10.03209352493284,1.2768364506624503,False
mobilenet,severidade,SC400,3.431987762451194,1.124907235101575,False
mobilenet,severidade,SC400,21.99631929397581,1.3460969197760635,False
mobilenet,severidade,SC400,7.895147800445579,1.4082561805666056,False
mobilenet,severidade,SC400,27.55911350250242,1.2736358221769402,False
mobilenet,severidade,SC400,1.215338706970237,1.1849974798024336,False
mobilenet,severidade,SC480,11.437039375305202,0.8058988025743139,True
mobilenet,severidade,SC480,1.695756912231472,0.8091136667764184,True
mobilenet,severidade,SC480,15.588884353637722,0.8936301558629234,True
mobilenet,severidade,SC480,7.629840373992947,0.8221643883126957,True
mobilenet,severidade,SC480,15.995149612426784,0.8063575666743162,True
mobilenet,severidade,SC480,6.528668403625515,0.8456419462830281,True
mobilenet,severidade,SC480,4.012591838836643,0.9346893643612386,True
mobilenet,severidade,SC480,11.130766868591335,0.7786431238019696,True
mobilenet,severidade,SC480,0.504355430603054,0.8204879756363922,True
mobilenet,severidade,SC480,2.438085079193142,0.8285682411939151,True
mobilenet,severidade,SC480,6.470196247100857,0.8261521097735129,True
mobilenet,severidade,SC480,7.931799888610813,0.8547903534295402,True
mobilenet,severidade,SC480,13.257915973663303,0.9054923700153417,True
mobilenet,severidade,SC480,16.20133638381955,0.8990608927826826,True
mobilenet,severidade,SC480,8.795900344848606,0.8301569447698798,True
mobilenet,severidade,SC480,8.548157215118435,0.8145547895957497,True
mobilenet,severidade,SC480,3.4044456481933327,0.8539617121123004,True
mobilenet,severidade,SC480,3.1361031532287864,0.919320463642964,True
mobilenet,severidade,SC480,13.204987049102757,0.91184625636941,True
mobilenet,severidade,SC480,11.861271858215305,0.9207528612148862,True
mobilenet,severidade,SC480,12.59816408157346,0.9246234825502869,True
mobilenet,severidade,SC480,13.25790166854861,1.0526381533964928,False
mobilenet,severidade,SC480,15.818746089935276,0.8857281280458245,True
mobilenet,severidade,SC480,7.797603607177761,0.8393278011632335,True
mobilenet,severidade,SC480,3.2221841812134056,0.86417322850471,True
mobilenet,severidade,SC480,4.42073822021487,0.8093873048933248,True
mobilenet,severidade,SC480,4.007749557495144,0.8392772100544927,True
mobilenet,severidade,SC560,2.1671199798583896,0.793827325097545,True
mobilenet,severidade,SC560,11.307582855224618,0.7922510781233034,True
mobilenet,severidade,SC560,5.9521460533142,0.7740171992196764,True
mobilenet,severidade,SC560,6.637284755706796,0.7730472295517293,True
mobilenet,severidade,SC560,11.737313270568839,0.8288989534239689,True
mobilenet,severidade,SC560,4.352149963378915,0.7388380492441757,True
mobilenet,severidade,SC560,2.547452449798593,0.7305430577794484,True
mobilenet,severidade,SC560,0.4205322265625089,0.7317323947208575,True
mobilenet,severidade,SC560,7.023701667785653,0.737308616750004,True
mobilenet,severidade,SC560,6.7694997787475675,0.7185699520941558,True
mobilenet,severidade,SC560,5.847606658935556,0.8286620284637086,True
mobilenet,severidade,SC560,2.2160792350768954,0.7248206330277392,True
mobilenet,severidade,SC560,0.9866261482238681,0.8177393147762783,True
mobilenet,severidade,SC560,1.3458633422851474,0.745750614348155,True
mobilenet,severidade,SC560,7.469775676727286,0.7278514598797354,True
mobilenet,severidade,SC560,9.964373111724845,0.7377890383908275,True
mobilenet,severidade,SC560,21.84931278228759,0.7850767635661613,True
mobilenet,severidade,SC560,3.2985472679138095,0.7615928474430366,True
mobilenet,severidade,SC560,5.143544673919687,1.038696141140831,False
mobilenet,severidade,SC560,15.018115043640146,0.9396491406409965,True
mobilenet,severidade,SC560,15.49340248107911,1.079254722619925,False
mobilenet,severidade,SC560,27.637801170349128,1.1153589776343815,False
mobilenet,severidade,SC560,5.649802684783944,1.4195753929113042,False
mobilenet,severidade,SC560,38.73935699462891,1.036597072291889,False
mobilenet,severidade,SC560,54.703149795532234,0.9150547482200974,True
mobilenet,severidade,SC560,2.010331153869638,0.8715838475045793,True
mobilenet,severidade,SC560,32.749912738800056,1.0769112543815864,False
mobilenet,severidade,SC560,4.704556465148935,1.0662106341482933,False
mobilenet,severidade,SC560,33.135793209075935,0.9113892087335731,True
mobilenet,severidade,SC560,25.69080352783204,0.8550093550586957,True
mobilenet,severidade,SC560,12.605986595153817,0.9518011722440413,True
mobilenet,severidade,SC560,1.304306983947745,0.8541138137340144,True
mobilenet,campanha,A,187.53747940063477,1.3212302413532786,False
mobilenet,campanha,A,189.34543132781982,1.3455138721992612,False
mobilenet,campanha,A,189.68292474746704,1.3925277164170486,False
mobilenet,campanha,A,182.44560956954956,1.3593171740738157,False
mobilenet,campanha,A,182.82185196876526,1.3354033808106156,False
mobilenet,campanha,A,173.88732433319092,1.338107570142047,False
mobilenet,campanha,A,189.19165134429932,1.3973785646232695,False
mobilenet,campanha,A,190.78940749168396,1.2872049260825593,False
mobilenet,campanha,A,185.57183146476746,1.3740739873532213,False
mobilenet,campanha,A,175.84490776062012,1.3565510960790261,False
mobilenet,campanha,A,167.15651750564575,1.377475115520927,False
mobilenet,campanha,A,186.24826669692993,1.3558657345280984,False
mobilenet,campanha,A,183.06387662887573,1.3481291191219031,False
mobilenet,campanha,A,194.17816400527954,1.3394247354164392,False
mobilenet,campanha,A,179.11593317985535,1.2987203399426819,False
mobilenet,campanha,A,161.71395778656006,1.361726468991555,False
mobilenet,campanha,A,163.2693350315094,1.195747979011269,False
mobilenet,campanha,A,178.6470651626587,1.328047819555944,False
mobilenet,campanha,A,183.68046283721924,1.38434238673028,False
mobilenet,campanha,A,182.95068740844727,1.2580673895276973,False
mobilenet,campanha,A,183.6038589477539,1.3150277708483256,False
mobilenet,campanha,A,185.09196639060974,1.1882371206693307,False
mobilenet,campanha,B,60.34731149673462,1.325684210927396,False
mobilenet,campanha,B,56.25608444213867,1.261574315894913,False
mobilenet,campanha,B,46.738247871398926,1.24645484292263,False
mobilenet,campanha,B,29.262797832489014,1.2167664990542757,False
mobilenet,campanha,B,46.31746292114258,1.3321633802549115,False
mobilenet,campanha,B,51.57602310180664,1.3214364540795231,False
mobilenet,campanha,B,27.56978750228882,1.2875385791414375,False
mobilenet,campanha,B,20.691351890563965,1.3069575361523125,False
mobilenet,campanha,B,21.678905487060547,1.2525633622966472,False
mobilenet,campanha,B,40.044026374816895,1.2708135003272303,False
mobilenet,campanha,B,39.778380393981934,1.3051029470200606,False
mobilenet,campanha,B,33.36650609970093,1.2928295779771333,False
mobilenet,campanha,B,61.98227882385254,1.3285303148567515,False
mobilenet,campanha,B,69.64273929595947,1.2957840165020513,False
mobilenet,campanha,B,53.62487316131592,1.3626461213757364,False
mobilenet,campanha,B,69.78407382965088,1.2930442920036094,False
mobilenet,campanha,B,70.99235534667969,1.3079541774834964,False
mobilenet,campanha,B,57.91111469268799,1.281354747440933,False
mobilenet,campanha,B,53.01136255264282,1.5540712734104747,False
mobilenet,campanha,B,58.7722110748291,1.612960401584661,False
mobilenet,campanha,B,69.89987373352051,1.508459468234088,False
mobilenet,campanha,B,76.36557102203369,1.4764261122014726,False
mobilenet,campanha,B,64.97955799102783,1.6645822289427372,False
mobilenet,campanha,B,74.9894905090332,1.6198507712883994,False
mobilenet,campanha,B,80.0,1.5340805000171944,False
mobilenet,campanha,B,77.92218208312988,1.4758540033141196,False
mobilenet,campanha,B,74.12475109100342,1.140565988991076,False
mobilenet,campanha,B,79.94893550872803,1.1657010930813672,False
mobilenet,campanha,B,50.368103981018066,1.3246947436649248,False
mobilenet,campanha,B,57.28391170501709,1.282318458873025,False
mobilenet,campanha,B,48.56678605079651,1.2637225184144854,False
mobilenet,campanha,B,44.7409725189209,1.2381605880257749,False
mobilenet,campanha,B,42.82254934310913,1.3452956207987412,False
mobilenet,campanha,B,48.36238384246826,1.2827053659436065,False
mobilenet,campanha,B,37.063167095184326,1.4134275974145873,False
mobilenet,campanha,B,36.307231187820435,1.4212009625798998,False
mobilenet,campanha,B,42.680338621139526,1.286361369887651,False
mobilenet,campanha,B,29.82159614562988,1.3394563599264142,False
mobilenet,campanha,B,44.64999198913574,1.3080561539452,False
mobilenet,campanha,B,45.80772280693054,1.3825779627195902,False
mobilenet,campanha,B,29.597399234771725,1.4638680434746254,False
mobilenet,campanha,B,43.78732204437256,1.5645387323024165,False
mobilenet,campanha,B,13.698247671127318,1.5315134765977665,False
mobilenet,campanha,B,37.24205255508423,1.5662056410233418,False
mobilenet,campanha,B,28.94481778144836,1.5116701256980356,False
mobilenet,campanha,B,36.71390771865845,1.5437972988438184,False
mobilenet,campanha,B,36.978230476379395,1.4801258687276666,False
mobilenet,campanha,B,20.55442094802856,1.521434371906147,False
mobilenet,campanha,B,18.12929272651672,1.5274869458602014,False
mobilenet,campanha,B,27.697393894195553,1.5059280072582792,False
mobilenet,campanha,B,18.10524225234985,1.3965358061752913,False
mobilenet,campanha,B,24.32133316993713,1.6129903294592915,False
mobilenet,campanha,B,55.82189321517944,1.3815755636594391,False
mobilenet,campanha,B,49.49960470199585,1.4234606094844768,False
mobilenet,campanha,B,17.160496711730953,1.4465067048195752,False
mobilenet,campanha,B,20.424280166625973,1.3565483784997856,False
mobilenet,campanha,B,38.4321129322052,1.4581230923553774,False
mobilenet,campanha,C,3.0707144737243786,1.3631103237543158,False
mobilenet,campanha,C,31.54238104820253,1.448532624786995,False
mobilenet,campanha,C,8.293547630310073,1.341784137356285,False
mobilenet,campanha,C,0.2634966373443737,1.3494030549769984,False
mobilenet,campanha,C,7.646008729934706,1.40097356131836,False
mobilenet,campanha,C,7.953550815582289,1.3898455287417346,False
mobilenet,campanha,C,0.07322788238524058,1.381484516662084,False
mobilenet,campanha,C,2.711495161056532,1.4024557626271095,False
mobilenet,campanha,C,18.26068997383119,1.4790730089579167,False
