conjunto,treino,perturbacao,dobra,mul_f1_macro,reg_mae_espiras
hibrido_mb_f,limpo,translacao,b2,1.0,11.889484498057062
hibrido_mb_f,limpo,rotacao,b2,1.0,8.313148177863457
hibrido_mb_f,limpo,nenhuma,b3,1.0,9.224233048509259
hibrido_mb_f,limpo,ruido,b3,0.7467711301044635,34.588714710455015
hibrido_mb_f,limpo,desfoque,b3,0.6626984126984127,24.406709164804187
hibrido_mb_f,limpo,translacao,b3,1.0,21.95057922019334
hibrido_mb_f,limpo,rotacao,b3,0.9566606233272901,11.60014580540367
hibrido_mb_f,limpo,nenhuma,b4,1.0,9.048645702900462
hibrido_mb_f,limpo,ruido,b4,0.6645997430311156,32.066246727649684
hibrido_mb_f,limpo,desfoque,b4,0.6400919342095812,23.38789352973174
hibrido_mb_f,limpo,translacao,b4,1.0,13.57419677003848
hibrido_mb_f,limpo,rotacao,b4,1.0,13.231280335038836
hibrido_mb_f,aumentado,nenhuma,b0,1.0,4.863332475145218
hibrido_mb_f,aumentado,ruido,b0,0.982905982905983,6.2288903471163515
hibrido_mb_f,aumentado,desfoque,b0,1.0,4.7716750551536515
hibrido_mb_f,aumentado,translacao,b0,1.0,6.065989543367978
hibrido_mb_f,aumentado,rotacao,b0,0.9563492063492064,4.168685695613521
hibrido_mb_f,aumentado,nenhuma,b1,1.0,3.118808377136378
hibrido_mb_f,aumentado,ruido,b1,1.0,5.664638531210842
hibrido_mb_f,aumentado,desfoque,b1,1.0,3.6932534238595194
hibrido_mb_f,aumentado,translacao,b1,1.0,3.002433877774543
hibrido_mb_f,aumentado,rotacao,b1,1.0,3.9408260340987518
hibrido_mb_f,aumentado,nenhuma,b2,1.0,2.528647452042248
hibrido_mb_f,aumentado,ruido,b2,1.0,5.947389185609918
hibrido_mb_f,aumentado,desfoque,b2,1.0,3.611128636106347
hibrido_mb_f,aumentado,translacao,b2,1.0,3.1837422710807455
hibrido_mb_f,aumentado,rotacao,b2,1.0,2.3444118611032723
hibrido_mb_f,aumentado,nenhuma,b3,1.0,4.64386427258238
hibrido_mb_f,aumentado,ruido,b3,1.0,6.8160970215005925
hibrido_mb_f,aumentado,desfoque,b3,1.0,4.707011207579427
hibrido_mb_f,aumentado,translacao,b3,0.9775533108866442,4.959444729949318
hibrido_mb_f,aumentado,rotacao,b3,1.0,4.894204586040299
hibrido_mb_f,aumentado,nenhuma,b4,1.0,5.162737360540557
hibrido_mb_f,aumentado,ruido,b4,0.9775533108866442,7.06822098289992
hibrido_mb_f,aumentado,desfoque,b4,1.0,5.5037350250644925
hibrido_mb_f,aumentado,translacao,b4,1.0,7.147481664775082
hibrido_mb_f,aumentado,rotacao,b4,1.0,5.789631057936372
